[1]t	 [2]ekin	 [3]enstrophy	 [4]helicity 
18.320000 976.369153 3386.80726 34.5316473 
18.340000 976.346298 3385.44349 34.5307569 
18.360000 976.323454 3384.08208 34.5298232 
18.380000 976.300691 3382.72293 34.5289462 
18.400000 976.277898 3381.36613 34.5280497 
18.420000 976.255141 3380.01168 34.5271417 
18.440000 976.232338 3378.65959 34.5262376 
18.460000 976.209654 3377.30984 34.5253479 
18.480000 976.18693 3375.96245 34.5244539 
18.500000 976.164206 3374.61737 34.5235392 
18.520000 976.141465 3373.27463 34.5226211 
18.540000 976.118776 3371.93423 34.5217059 
18.560000 976.096171 3370.59615 34.5208229 
18.580000 976.073547 3369.26041 34.5198847 
18.600000 976.050905 3367.92697 34.5189709 
18.620000 976.028334 3366.59581 34.5180829 
18.640000 976.005708 3365.26698 34.5171755 
18.660000 975.983148 3363.94048 34.5162663 
18.680000 975.960604 3362.6163 34.5153468 
18.700000 975.938088 3361.29444 34.5144314 
18.720000 975.915546 3359.97485 34.5135213 
18.740000 975.893068 3358.65756 34.5126313 
18.760000 975.870634 3357.34258 34.5117043 
18.780000 975.84813 3356.02989 34.5108088 
18.800000 975.825655 3354.7195 34.5098987 
18.820000 975.803271 3353.41144 34.5090054 
18.840000 975.780829 3352.10566 34.5081099 
18.860000 975.758454 3350.8022 34.5072029 
18.880000 975.736068 3349.50107 34.5062952 
18.900000 975.71371 3348.20221 34.5053819 
18.920000 975.691345 3346.90562 34.5044869 
18.940000 975.669041 3345.61131 34.5036234 
18.960000 975.646687 3344.31932 34.5027038 
18.980000 975.624402 3343.02962 34.5018121 
19.000000 975.602098 3341.74223 34.5008951 
19.020000 975.579856 3340.45716 34.500007 
19.040000 975.557613 3339.17438 34.4991332 
19.060000 975.535424 3337.89387 34.4982484 
19.080000 975.513196 3336.61565 34.4973132 
19.100000 975.491012 3335.33974 34.4964057 
19.120000 975.468817 3334.06609 34.4955128 
19.140000 975.446685 3332.79473 34.4946012 
19.160000 975.424513 3331.52566 34.4936819 
19.180000 975.402315 3330.25885 34.4928137 
19.200000 975.380257 3328.99434 34.4919244 
19.220000 975.358088 3327.73212 34.491046 
19.240000 975.336018 3326.47219 34.4901433 
19.260000 975.31394 3325.21456 34.4892495 
19.280000 975.291887 3323.95923 34.4883348 
19.300000 975.2698 3322.7062 34.4874716 
19.320000 975.247814 3321.45545 34.4865883 
19.340000 975.225771 3320.207 34.4856718 
19.360000 975.203774 3318.96083 34.4847657 
19.380000 975.181778 3317.71696 34.4839052 
19.400000 975.159866 3316.47538 34.4830355 
19.420000 975.137911 3315.23607 34.4821393 
19.440000 975.115976 3313.99909 34.4812653 
19.460000 975.094072 3312.76439 34.4803396 
19.480000 975.072168 3311.53199 34.4794698 
19.500000 975.050309 3310.30191 34.478576 
19.520000 975.028421 3309.07408 34.4776974 
19.540000 975.006609 3307.84855 34.476789 
19.560000 974.984751 3306.62529 34.475921 
19.580000 974.962965 3305.40431 34.4750045 
19.600000 974.94117 3304.18564 34.4741118 
19.620000 974.919422 3302.96926 34.4732334 
19.640000 974.897653 3301.75519 34.4723456 
19.660000 974.875895 3300.54345 34.4714885 
19.680000 974.85416 3299.33403 34.4705996 
19.700000 974.832438 3298.12694 34.4697408 
19.720000 974.810762 3296.92217 34.4688607 
19.740000 974.789103 3295.71968 34.4679691 
19.760000 974.767428 3294.5195 34.4671172 
19.780000 974.745797 3293.32166 34.4662551 
19.800000 974.724119 3292.12612 34.4653905 
19.820000 974.702495 3290.93288 34.4645231 
19.840000 974.680888 3289.74193 34.4636385 
19.860000 974.659296 3288.55336 34.4627722 
19.880000 974.637705 3287.36711 34.4619118 
19.900000 974.616165 3286.18316 34.4610078 
19.920000 974.594596 3285.00159 34.460166 
19.940000 974.573057 3283.82234 34.4592663 
19.960000 974.551531 3282.6454 34.4584015 
19.980000 974.530025 3281.47081 34.4575376 
20.000000 974.508531 3280.29853 34.4566542 
20.020000 974.488778 3279.23521 34.4560239 
20.040000 974.468239 3278.13401 34.4553829 
20.060000 974.44741 3277.01674 34.4546763 
20.080000 974.426589 3275.89201 34.4538985 
20.100000 974.405793 3274.7695 34.453165 
20.120000 974.384943 3273.64932 34.4523894 
20.140000 974.364147 3272.53142 34.4516477 
20.160000 974.343369 3271.41585 34.4508931 
20.180000 974.32258 3270.30258 34.450118 
20.200000 974.301779 3269.19164 34.4494005 
20.220000 974.281073 3268.08301 34.4485948 
20.240000 974.26031 3266.97671 34.4478403 
20.260000 974.239576 3265.87271 34.4470713 
20.280000 974.218888 3264.77103 34.446362 
20.300000 974.198176 3263.6717 34.4456022 
20.320000 974.177496 3262.57471 34.4448486 
20.340000 974.156777 3261.48006 34.4441341 
20.360000 974.136134 3260.38777 34.4433468 
20.380000 974.115471 3259.29781 34.4426251 
20.400000 974.094814 3258.21019 34.4418882 
20.420000 974.074217 3257.12493 34.4411154 
20.440000 974.053592 3256.04201 34.4403947 
20.460000 974.033002 3254.96144 34.4396317 
20.480000 974.012389 3253.88326 34.4389176 
20.500000 973.991811 3252.80746 34.4381669 
20.520000 973.971295 3251.73403 34.437437 
20.540000 973.950712 3250.66299 34.4367166 
20.560000 973.930141 3249.59431 34.4359664 
20.580000 973.909629 3248.52804 34.4352244 
20.600000 973.889082 3247.46412 34.4345348 
20.620000 973.868577 3246.40258 34.4337966 
20.640000 973.848043 3245.34342 34.4330523 
20.660000 973.827562 3244.28665 34.4323014 
20.680000 973.807096 3243.23226 34.431575 
20.700000 973.786649 3242.18025 34.4308554 
20.720000 973.76617 3241.13067 34.4301217 
20.740000 973.745734 3240.08349 34.429396 
20.760000 973.72528 3239.0387 34.4286735 
20.780000 973.704879 3237.99633 34.4279303 
20.800000 973.684445 3236.95638 34.4272022 
20.820000 973.664051 3235.91884 34.426493 
20.840000 973.643674 3234.88367 34.4257909 
20.860000 973.623263 3233.8509 34.4250624 
20.880000 973.602893 3232.82052 34.4243617 
20.900000 973.582551 3231.79258 34.4236663 
20.920000 973.56225 3230.76704 34.4229568 
20.940000 973.541895 3229.74392 34.4222855 
20.960000 973.521582 3228.7232 34.4215684 
20.980000 973.501217 3227.70492 34.4208892 
21.000000 973.480898 3226.68907 34.4201702 
21.020000 973.460624 3225.67566 34.4194928 
21.040000 973.440358 3224.66468 34.418769 
21.060000 973.420102 3223.65615 34.4180765 
21.080000 973.3998 3222.65006 34.4173938 
21.100000 973.379522 3221.64643 34.4166807 
21.120000 973.35932 3220.6511 34.4160239 
21.140000 973.339584 3219.69178 34.4155323 
21.160000 973.319678 3218.72465 34.41488 
21.180000 973.298876 3217.69189 34.414073 
21.200000 973.279016 3216.73149 34.4134384 
21.220000 973.258052 3215.69818 34.4126426 
21.240000 973.237499 3214.68252 34.4118924 
21.260000 973.217639 3213.72892 34.4112471 
21.280000 973.196746 3212.70314 34.410452 
21.300000 973.17602 3211.69081 34.4096714 
21.320000 973.155311 3210.67992 34.4089157 
21.340000 973.134621 3209.67158 34.4081337 
21.360000 973.114047 3208.66976 34.4074078 
21.380000 973.094274 3207.73087 34.4067723 
21.400000 973.073441 3206.72022 34.4059928 
