t ekin epot bpot nu_top nu_bot nu_vol nu_eps nu_tmp nu_mix 
8.950000 0.000523509726 0.0585420292 -0.0588379728 1.01868777 1.03172549 1.78270454 0.15434135 1.11861295 1.11804604 
9.000000 0.000556486329 0.0585033462 -0.0593879121 1.01966603 1.0336388 1.83149631 0.163670483 1.12578357 1.12655723 
9.050000 0.000591531885 0.0584622464 -0.0596289539 1.0207019 1.03566647 1.88329453 0.173567103 1.13338831 1.13491212 
9.100000 0.000628773662 0.0584185812 -0.0589293255 1.02179866 1.03781742 1.93826382 0.184066745 1.14145295 1.14119088 
9.150000 0.00066834625 0.0583721934 -0.0591926608 1.02296131 1.04008958 1.99660119 0.195204676 1.15000472 1.15038563 
9.200000 0.000710392149 0.058322916 -0.0590892758 1.02419253 1.0424963 2.05850062 0.207020176 1.15907233 1.1595784 
9.250000 0.000755061967 0.0582705729 -0.0590273273 1.0254962 1.04504627 2.12416206 0.219554134 1.16868609 1.16888795 
9.300000 0.000802514864 0.0582149776 -0.059083337 1.02687738 1.04774269 2.19381463 0.232849911 1.17887794 1.1793099 
9.350000 0.000852919021 0.0581559326 -0.0591119974 1.02834137 1.05059812 2.26768098 0.246952527 1.18968153 1.18997236 
9.400000 0.000906452015 0.0580932294 -0.0589638018 1.02989116 1.05362463 2.3459928 0.261911409 1.20113229 1.20139598 
9.450000 0.00096330112 0.0580266482 -0.0590188637 1.03153303 1.05682738 2.42900402 0.277777886 1.21326748 1.21348606 
9.500000 0.00102366389 0.0579559563 -0.0592724459 1.03327332 1.06021413 2.51697361 0.294606147 1.2261263 1.22759658 
9.550000 0.00108774849 0.0578809085 -0.059412408 1.03511852 1.06379505 2.61017721 0.312452568 1.23974994 1.24218797 
9.600000 0.00115577419 0.0578012461 -0.0589353766 1.03707331 1.0675865 2.70889752 0.331379041 1.2541816 1.25465024 
9.650000 0.00122797163 0.0577166965 -0.0593169717 1.03914657 1.07159541 2.81343337 0.351446951 1.26946664 1.27171495 
9.700000 0.00130458341 0.0576269726 -0.05939917 1.04134223 1.07584332 2.92407769 0.3727268 1.28565255 1.2889095 
9.750000 0.00138586418 0.0575317725 -0.0589169086 1.04367118 1.08032698 3.04117205 0.395287186 1.30278907 1.3035208 
9.800000 0.00147208147 0.057430778 -0.059189604 1.04613983 1.08507608 3.16502897 0.419205735 1.32092822 1.32274721 
9.850000 0.00156351549 0.0573236557 -0.0590744595 1.04875938 1.09009458 3.29599111 0.444558285 1.34012432 1.34178787 
9.900000 0.001659783 0.0572092814 -0.0590719309 1.05151758 1.09540436 3.43450251 0.471233156 1.36070176 1.36311238 
9.950000 0.00176185256 0.0570880143 -0.0586795525 1.05444451 1.10095114 3.58094633 0.499513356 1.3824624 1.38233524 
10.000000 0.00187004627 0.0569594561 -0.0589585811 1.05756636 1.10685624 3.73563995 0.529494155 1.40546872 1.40759095 
10.050000 0.00198469768 0.0568232013 -0.0591713918 1.06087947 1.11309489 3.89892925 0.561268691 1.42978565 1.43431457 
10.100000 0.00210615587 0.0566788245 -0.0589429361 1.06439599 1.11970001 4.07117448 0.594940419 1.45548046 1.45824424 
10.150000 0.00223478355 0.056525883 -0.0588198387 1.06813144 1.12667577 4.25281738 0.63061152 1.48262275 1.48601738 
10.200000 0.00237095747 0.0563639139 -0.0591982994 1.07209969 1.13406834 4.44421482 0.668392955 1.51128457 1.51804787 
10.250000 0.00251506809 0.0561924376 -0.0586749561 1.07631318 1.14186968 4.64573778 0.708407944 1.54154018 1.54383277 
10.300000 0.00266751945 0.0560109547 -0.0587852804 1.08079148 1.15010986 4.85779126 0.750772439 1.57346613 1.57830916 
